protein_id,evo_model,unique_id,seen_count,not_seen_count,file_path,S3
NP_001137326.1,ESM1V,NP_001137326.1_ESM1V_78,453,12733,/n/groups/marks/projects/Poly/data/model_score_files/popEVE_training_files_20240420/NP_001137326.1_ESM1V_78.csv,data/model_score_files/popEVE_training_files_20240420/NP_001137326.1_ESM1V_78.csv
NP_114144.5,ESM1V,NP_114144.5_ESM1V_80,393,10608,/n/groups/marks/projects/Poly/data/model_score_files/popEVE_training_files_20240420/NP_114144.5_ESM1V_80.csv,data/model_score_files/popEVE_training_files_20240420/NP_114144.5_ESM1V_80.csv
NP_067016.3,ESM1V,NP_067016.3_ESM1V_83,265,4865,/n/groups/marks/projects/Poly/data/model_score_files/popEVE_training_files_20240420/NP_067016.3_ESM1V_83.csv,data/model_score_files/popEVE_training_files_20240420/NP_067016.3_ESM1V_83.csv
NP_001229401.1,ESM1V,NP_001229401.1_ESM1V_85,289,8983,/n/groups/marks/projects/Poly/data/model_score_files/popEVE_training_files_20240420/NP_001229401.1_ESM1V_85.csv,data/model_score_files/popEVE_training_files_20240420/NP_001229401.1_ESM1V_85.csv
NP_071801.1,ESM1V,NP_071801.1_ESM1V_101,186,6198,/n/groups/marks/projects/Poly/data/model_score_files/popEVE_training_files_20240420/NP_071801.1_ESM1V_101.csv,data/model_score_files/popEVE_training_files_20240420/NP_071801.1_ESM1V_101.csv
NP_066962.2,ESM1V,NP_066962.2_ESM1V_105,392,9640,/n/groups/marks/projects/Poly/data/model_score_files/popEVE_training_files_20240420/NP_066962.2_ESM1V_105.csv,data/model_score_files/popEVE_training_files_20240420/NP_066962.2_ESM1V_105.csv
NP_079439.2,ESM1V,NP_079439.2_ESM1V_107,425,10576,/n/groups/marks/projects/Poly/data/model_score_files/popEVE_training_files_20240420/NP_079439.2_ESM1V_107.csv,data/model_score_files/popEVE_training_files_20240420/NP_079439.2_ESM1V_107.csv
NP_003871.1,ESM1V,NP_003871.1_ESM1V_111,195,6531,/n/groups/marks/projects/Poly/data/model_score_files/popEVE_training_files_20240420/NP_003871.1_ESM1V_111.csv,data/model_score_files/popEVE_training_files_20240420/NP_003871.1_ESM1V_111.csv
NP_060055.2,ESM1V,NP_060055.2_ESM1V_117,391,9242,/n/groups/marks/projects/Poly/data/model_score_files/popEVE_training_files_20240420/NP_060055.2_ESM1V_117.csv,data/model_score_files/popEVE_training_files_20240420/NP_060055.2_ESM1V_117.csv
NP_898871.1,ESM1V,NP_898871.1_ESM1V_121,271,7177,/n/groups/marks/projects/Poly/data/model_score_files/popEVE_training_files_20240420/NP_898871.1_ESM1V_121.csv,data/model_score_files/popEVE_training_files_20240420/NP_898871.1_ESM1V_121.csv
NP_061738.1,ESM1V,NP_061738.1_ESM1V_127,667,17041,/n/groups/marks/projects/Poly/data/model_score_files/popEVE_training_files_20240420/NP_061738.1_ESM1V_127.csv,data/model_score_files/popEVE_training_files_20240420/NP_061738.1_ESM1V_127.csv
NP_060793.2,ESM1V,NP_060793.2_ESM1V_135,303,8836,/n/groups/marks/projects/Poly/data/model_score_files/popEVE_training_files_20240420/NP_060793.2_ESM1V_135.csv,data/model_score_files/popEVE_training_files_20240420/NP_060793.2_ESM1V_135.csv
NP_065766.1,ESM1V,NP_065766.1_ESM1V_140,804,25112,/n/groups/marks/projects/Poly/data/model_score_files/popEVE_training_files_20240420/NP_065766.1_ESM1V_140.csv,data/model_score_files/popEVE_training_files_20240420/NP_065766.1_ESM1V_140.csv
NP_001001916.2,ESM1V,NP_001001916.2_ESM1V_144,243,5666,/n/groups/marks/projects/Poly/data/model_score_files/popEVE_training_files_20240420/NP_001001916.2_ESM1V_144.csv,data/model_score_files/popEVE_training_files_20240420/NP_001001916.2_ESM1V_144.csv
NP_001661.1,ESM1V,NP_001661.1_ESM1V_172,844,17434,/n/groups/marks/projects/Poly/data/model_score_files/popEVE_training_files_20240420/NP_001661.1_ESM1V_172.csv,data/model_score_files/popEVE_training_files_20240420/NP_001661.1_ESM1V_172.csv
NP_037364.1,ESM1V,NP_037364.1_ESM1V_176,151,3478,/n/groups/marks/projects/Poly/data/model_score_files/popEVE_training_files_20240420/NP_037364.1_ESM1V_176.csv,data/model_score_files/popEVE_training_files_20240420/NP_037364.1_ESM1V_176.csv
NP_001129686.1,ESM1V,NP_001129686.1_ESM1V_182,117,8357,/n/groups/marks/projects/Poly/data/model_score_files/popEVE_training_files_20240420/NP_001129686.1_ESM1V_182.csv,data/model_score_files/popEVE_training_files_20240420/NP_001129686.1_ESM1V_182.csv
NP_001631.3,ESM1V,NP_001631.3_ESM1V_185,449,13459,/n/groups/marks/projects/Poly/data/model_score_files/popEVE_training_files_20240420/NP_001631.3_ESM1V_185.csv,data/model_score_files/popEVE_training_files_20240420/NP_001631.3_ESM1V_185.csv
NP_006512.2,ESM1V,NP_006512.2_ESM1V_192,214,10711,/n/groups/marks/projects/Poly/data/model_score_files/popEVE_training_files_20240420/NP_006512.2_ESM1V_192.csv,data/model_score_files/popEVE_training_files_20240420/NP_006512.2_ESM1V_192.csv
NP_001139136.2,ESM1V,NP_001139136.2_ESM1V_194,321,8666,/n/groups/marks/projects/Poly/data/model_score_files/popEVE_training_files_20240420/NP_001139136.2_ESM1V_194.csv,data/model_score_files/popEVE_training_files_20240420/NP_001139136.2_ESM1V_194.csv
NP_001167621.1,ESM1V,NP_001167621.1_ESM1V_203,277,7855,/n/groups/marks/projects/Poly/data/model_score_files/popEVE_training_files_20240420/NP_001167621.1_ESM1V_203.csv,data/model_score_files/popEVE_training_files_20240420/NP_001167621.1_ESM1V_203.csv
NP_001269724.1,ESM1V,NP_001269724.1_ESM1V_220,473,12770,/n/groups/marks/projects/Poly/data/model_score_files/popEVE_training_files_20240420/NP_001269724.1_ESM1V_220.csv,data/model_score_files/popEVE_training_files_20240420/NP_001269724.1_ESM1V_220.csv
NP_612457.1,ESM1V,NP_612457.1_ESM1V_224,78,1803,/n/groups/marks/projects/Poly/data/model_score_files/popEVE_training_files_20240420/NP_612457.1_ESM1V_224.csv,data/model_score_files/popEVE_training_files_20240420/NP_612457.1_ESM1V_224.csv
NP_003932.3,ESM1V,NP_003932.3_ESM1V_226,276,9319,/n/groups/marks/projects/Poly/data/model_score_files/popEVE_training_files_20240420/NP_003932.3_ESM1V_226.csv,data/model_score_files/popEVE_training_files_20240420/NP_003932.3_ESM1V_226.csv
NP_056538.1,ESM1V,NP_056538.1_ESM1V_238,473,14385,/n/groups/marks/projects/Poly/data/model_score_files/popEVE_training_files_20240420/NP_056538.1_ESM1V_238.csv,data/model_score_files/popEVE_training_files_20240420/NP_056538.1_ESM1V_238.csv
NP_002477.1,ESM1V,NP_002477.1_ESM1V_242,335,14675,/n/groups/marks/projects/Poly/data/model_score_files/popEVE_training_files_20240420/NP_002477.1_ESM1V_242.csv,data/model_score_files/popEVE_training_files_20240420/NP_002477.1_ESM1V_242.csv
NP_665898.1,ESM1V,NP_665898.1_ESM1V_248,371,7571,/n/groups/marks/projects/Poly/data/model_score_files/popEVE_training_files_20240420/NP_665898.1_ESM1V_248.csv,data/model_score_files/popEVE_training_files_20240420/NP_665898.1_ESM1V_248.csv
NP_703191.2,ESM1V,NP_703191.2_ESM1V_250,584,14445,/n/groups/marks/projects/Poly/data/model_score_files/popEVE_training_files_20240420/NP_703191.2_ESM1V_250.csv,data/model_score_files/popEVE_training_files_20240420/NP_703191.2_ESM1V_250.csv
NP_775901.3,ESM1V,NP_775901.3_ESM1V_252,1411,40883,/n/groups/marks/projects/Poly/data/model_score_files/popEVE_training_files_20240420/NP_775901.3_ESM1V_252.csv,data/model_score_files/popEVE_training_files_20240420/NP_775901.3_ESM1V_252.csv
NP_001161686.1,ESM1V,NP_001161686.1_ESM1V_256,203,4490,/n/groups/marks/projects/Poly/data/model_score_files/popEVE_training_files_20240420/NP_001161686.1_ESM1V_256.csv,data/model_score_files/popEVE_training_files_20240420/NP_001161686.1_ESM1V_256.csv
NP_006205.1,ESM1V,NP_006205.1_ESM1V_260,249,6173,/n/groups/marks/projects/Poly/data/model_score_files/popEVE_training_files_20240420/NP_006205.1_ESM1V_260.csv,data/model_score_files/popEVE_training_files_20240420/NP_006205.1_ESM1V_260.csv
NP_001243328.1,ESM1V,NP_001243328.1_ESM1V_279,137,5164,/n/groups/marks/projects/Poly/data/model_score_files/popEVE_training_files_20240420/NP_001243328.1_ESM1V_279.csv,data/model_score_files/popEVE_training_files_20240420/NP_001243328.1_ESM1V_279.csv
NP_071338.1,ESM1V,NP_071338.1_ESM1V_281,225,7945,/n/groups/marks/projects/Poly/data/model_score_files/popEVE_training_files_20240420/NP_071338.1_ESM1V_281.csv,data/model_score_files/popEVE_training_files_20240420/NP_071338.1_ESM1V_281.csv
NP_006787.2,ESM1V,NP_006787.2_ESM1V_283,421,14722,/n/groups/marks/projects/Poly/data/model_score_files/popEVE_training_files_20240420/NP_006787.2_ESM1V_283.csv,data/model_score_files/popEVE_training_files_20240420/NP_006787.2_ESM1V_283.csv
NP_065114.3,ESM1V,NP_065114.3_ESM1V_287,231,7350,/n/groups/marks/projects/Poly/data/model_score_files/popEVE_training_files_20240420/NP_065114.3_ESM1V_287.csv,data/model_score_files/popEVE_training_files_20240420/NP_065114.3_ESM1V_287.csv
NP_085128.2,ESM1V,NP_085128.2_ESM1V_289,1177,39407,/n/groups/marks/projects/Poly/data/model_score_files/popEVE_training_files_20240420/NP_085128.2_ESM1V_289.csv,data/model_score_files/popEVE_training_files_20240420/NP_085128.2_ESM1V_289.csv
NP_001001852.2,ESM1V,NP_001001852.2_ESM1V_295,259,5935,/n/groups/marks/projects/Poly/data/model_score_files/popEVE_training_files_20240420/NP_001001852.2_ESM1V_295.csv,data/model_score_files/popEVE_training_files_20240420/NP_001001852.2_ESM1V_295.csv
NP_001613.2,ESM1V,NP_001613.2_ESM1V_300,252,6721,/n/groups/marks/projects/Poly/data/model_score_files/popEVE_training_files_20240420/NP_001613.2_ESM1V_300.csv,data/model_score_files/popEVE_training_files_20240420/NP_001613.2_ESM1V_300.csv
NP_055616.3,ESM1V,NP_055616.3_ESM1V_315,1409,39194,/n/groups/marks/projects/Poly/data/model_score_files/popEVE_training_files_20240420/NP_055616.3_ESM1V_315.csv,data/model_score_files/popEVE_training_files_20240420/NP_055616.3_ESM1V_315.csv
NP_055671.2,ESM1V,NP_055671.2_ESM1V_317,779,27645,/n/groups/marks/projects/Poly/data/model_score_files/popEVE_training_files_20240420/NP_055671.2_ESM1V_317.csv,data/model_score_files/popEVE_training_files_20240420/NP_055671.2_ESM1V_317.csv
NP_001157814.1,ESM1V,NP_001157814.1_ESM1V_328,321,13758,/n/groups/marks/projects/Poly/data/model_score_files/popEVE_training_files_20240420/NP_001157814.1_ESM1V_328.csv,data/model_score_files/popEVE_training_files_20240420/NP_001157814.1_ESM1V_328.csv
NP_733843.1,ESM1V,NP_733843.1_ESM1V_330,432,10816,/n/groups/marks/projects/Poly/data/model_score_files/popEVE_training_files_20240420/NP_733843.1_ESM1V_330.csv,data/model_score_files/popEVE_training_files_20240420/NP_733843.1_ESM1V_330.csv
NP_001091672.1,ESM1V,NP_001091672.1_ESM1V_342,508,13419,/n/groups/marks/projects/Poly/data/model_score_files/popEVE_training_files_20240420/NP_001091672.1_ESM1V_342.csv,data/model_score_files/popEVE_training_files_20240420/NP_001091672.1_ESM1V_342.csv
NP_001976.1,ESM1V,NP_001976.1_ESM1V_358,153,4692,/n/groups/marks/projects/Poly/data/model_score_files/popEVE_training_files_20240420/NP_001976.1_ESM1V_358.csv,data/model_score_files/popEVE_training_files_20240420/NP_001976.1_ESM1V_358.csv
NP_068657.1,ESM1V,NP_068657.1_ESM1V_362,415,11821,/n/groups/marks/projects/Poly/data/model_score_files/popEVE_training_files_20240420/NP_068657.1_ESM1V_362.csv,data/model_score_files/popEVE_training_files_20240420/NP_068657.1_ESM1V_362.csv
NP_065857.1,ESM1V,NP_065857.1_ESM1V_364,350,14261,/n/groups/marks/projects/Poly/data/model_score_files/popEVE_training_files_20240420/NP_065857.1_ESM1V_364.csv,data/model_score_files/popEVE_training_files_20240420/NP_065857.1_ESM1V_364.csv
NP_071341.2,ESM1V,NP_071341.2_ESM1V_372,481,20191,/n/groups/marks/projects/Poly/data/model_score_files/popEVE_training_files_20240420/NP_071341.2_ESM1V_372.csv,data/model_score_files/popEVE_training_files_20240420/NP_071341.2_ESM1V_372.csv
NP_115627.6,ESM1V,NP_115627.6_ESM1V_374,1068,26976,/n/groups/marks/projects/Poly/data/model_score_files/popEVE_training_files_20240420/NP_115627.6_ESM1V_374.csv,data/model_score_files/popEVE_training_files_20240420/NP_115627.6_ESM1V_374.csv
NP_056345.3,ESM1V,NP_056345.3_ESM1V_378,276,8312,/n/groups/marks/projects/Poly/data/model_score_files/popEVE_training_files_20240420/NP_056345.3_ESM1V_378.csv,data/model_score_files/popEVE_training_files_20240420/NP_056345.3_ESM1V_378.csv
NP_037423.2,ESM1V,NP_037423.2_ESM1V_404,971,26446,/n/groups/marks/projects/Poly/data/model_score_files/popEVE_training_files_20240420/NP_037423.2_ESM1V_404.csv,data/model_score_files/popEVE_training_files_20240420/NP_037423.2_ESM1V_404.csv
NP_066919.2,ESM1V,NP_066919.2_ESM1V_427,1357,40880,/n/groups/marks/projects/Poly/data/model_score_files/popEVE_training_files_20240420/NP_066919.2_ESM1V_427.csv,data/model_score_files/popEVE_training_files_20240420/NP_066919.2_ESM1V_427.csv
NP_060111.2,ESM1V,NP_060111.2_ESM1V_431,891,30668,/n/groups/marks/projects/Poly/data/model_score_files/popEVE_training_files_20240420/NP_060111.2_ESM1V_431.csv,data/model_score_files/popEVE_training_files_20240420/NP_060111.2_ESM1V_431.csv
NP_005656.4,ESM1V,NP_005656.4_ESM1V_440,475,14915,/n/groups/marks/projects/Poly/data/model_score_files/popEVE_training_files_20240420/NP_005656.4_ESM1V_440.csv,data/model_score_files/popEVE_training_files_20240420/NP_005656.4_ESM1V_440.csv
NP_009198.4,ESM1V,NP_009198.4_ESM1V_442,623,14672,/n/groups/marks/projects/Poly/data/model_score_files/popEVE_training_files_20240420/NP_009198.4_ESM1V_442.csv,data/model_score_files/popEVE_training_files_20240420/NP_009198.4_ESM1V_442.csv
NP_000385.1,ESM1V,NP_000385.1_ESM1V_450,25,3262,/n/groups/marks/projects/Poly/data/model_score_files/popEVE_training_files_20240420/NP_000385.1_ESM1V_450.csv,data/model_score_files/popEVE_training_files_20240420/NP_000385.1_ESM1V_450.csv
NP_758872.1,ESM1V,NP_758872.1_ESM1V_452,444,18347,/n/groups/marks/projects/Poly/data/model_score_files/popEVE_training_files_20240420/NP_758872.1_ESM1V_452.csv,data/model_score_files/popEVE_training_files_20240420/NP_758872.1_ESM1V_452.csv
NP_002171.2,ESM1V,NP_002171.2_ESM1V_464,712,18155,/n/groups/marks/projects/Poly/data/model_score_files/popEVE_training_files_20240420/NP_002171.2_ESM1V_464.csv,data/model_score_files/popEVE_training_files_20240420/NP_002171.2_ESM1V_464.csv
NP_000104.1,ESM1V,NP_000104.1_ESM1V_475,184,6124,/n/groups/marks/projects/Poly/data/model_score_files/popEVE_training_files_20240420/NP_000104.1_ESM1V_475.csv,data/model_score_files/popEVE_training_files_20240420/NP_000104.1_ESM1V_475.csv
NP_064632.2,ESM1V,NP_064632.2_ESM1V_485,554,11739,/n/groups/marks/projects/Poly/data/model_score_files/popEVE_training_files_20240420/NP_064632.2_ESM1V_485.csv,data/model_score_files/popEVE_training_files_20240420/NP_064632.2_ESM1V_485.csv
NP_085135.1,ESM1V,NP_085135.1_ESM1V_503,1371,41341,/n/groups/marks/projects/Poly/data/model_score_files/popEVE_training_files_20240420/NP_085135.1_ESM1V_503.csv,data/model_score_files/popEVE_training_files_20240420/NP_085135.1_ESM1V_503.csv
NP_005311.1,ESM1V,NP_005311.1_ESM1V_508,27,4172,/n/groups/marks/projects/Poly/data/model_score_files/popEVE_training_files_20240420/NP_005311.1_ESM1V_508.csv,data/model_score_files/popEVE_training_files_20240420/NP_005311.1_ESM1V_508.csv
NP_068380.3,ESM1V,NP_068380.3_ESM1V_510,202,5878,/n/groups/marks/projects/Poly/data/model_score_files/popEVE_training_files_20240420/NP_068380.3_ESM1V_510.csv,data/model_score_files/popEVE_training_files_20240420/NP_068380.3_ESM1V_510.csv
NP_963925.2,ESM1V,NP_963925.2_ESM1V_512,445,13235,/n/groups/marks/projects/Poly/data/model_score_files/popEVE_training_files_20240420/NP_963925.2_ESM1V_512.csv,data/model_score_files/popEVE_training_files_20240420/NP_963925.2_ESM1V_512.csv
NP_852122.1,ESM1V,NP_852122.1_ESM1V_514,301,8800,/n/groups/marks/projects/Poly/data/model_score_files/popEVE_training_files_20240420/NP_852122.1_ESM1V_514.csv,data/model_score_files/popEVE_training_files_20240420/NP_852122.1_ESM1V_514.csv
NP_000156.1,ESM1V,NP_000156.1_ESM1V_526,166,7092,/n/groups/marks/projects/Poly/data/model_score_files/popEVE_training_files_20240420/NP_000156.1_ESM1V_526.csv,data/model_score_files/popEVE_training_files_20240420/NP_000156.1_ESM1V_526.csv
NP_001369297.1,ESM1V,NP_001369297.1_ESM1V_532,86,1719,/n/groups/marks/projects/Poly/data/model_score_files/popEVE_training_files_20240420/NP_001369297.1_ESM1V_532.csv,data/model_score_files/popEVE_training_files_20240420/NP_001369297.1_ESM1V_532.csv
NP_055445.2,ESM1V,NP_055445.2_ESM1V_536,796,23277,/n/groups/marks/projects/Poly/data/model_score_files/popEVE_training_files_20240420/NP_055445.2_ESM1V_536.csv,data/model_score_files/popEVE_training_files_20240420/NP_055445.2_ESM1V_536.csv
NP_002584.2,ESM1V,NP_002584.2_ESM1V_542,333,8198,/n/groups/marks/projects/Poly/data/model_score_files/popEVE_training_files_20240420/NP_002584.2_ESM1V_542.csv,data/model_score_files/popEVE_training_files_20240420/NP_002584.2_ESM1V_542.csv
NP_951009.1,ESM1V,NP_951009.1_ESM1V_548,386,8449,/n/groups/marks/projects/Poly/data/model_score_files/popEVE_training_files_20240420/NP_951009.1_ESM1V_548.csv,data/model_score_files/popEVE_training_files_20240420/NP_951009.1_ESM1V_548.csv
NP_003163.1,ESM1V,NP_003163.1_ESM1V_550,262,5438,/n/groups/marks/projects/Poly/data/model_score_files/popEVE_training_files_20240420/NP_003163.1_ESM1V_550.csv,data/model_score_files/popEVE_training_files_20240420/NP_003163.1_ESM1V_550.csv
NP_065825.1,ESM1V,NP_065825.1_ESM1V_556,528,18586,/n/groups/marks/projects/Poly/data/model_score_files/popEVE_training_files_20240420/NP_065825.1_ESM1V_556.csv,data/model_score_files/popEVE_training_files_20240420/NP_065825.1_ESM1V_556.csv
NP_061848.2,ESM1V,NP_061848.2_ESM1V_564,305,7276,/n/groups/marks/projects/Poly/data/model_score_files/popEVE_training_files_20240420/NP_061848.2_ESM1V_564.csv,data/model_score_files/popEVE_training_files_20240420/NP_061848.2_ESM1V_564.csv
NP_001036096.2,ESM1V,NP_001036096.2_ESM1V_565,106,2079,/n/groups/marks/projects/Poly/data/model_score_files/popEVE_training_files_20240420/NP_001036096.2_ESM1V_565.csv,data/model_score_files/popEVE_training_files_20240420/NP_001036096.2_ESM1V_565.csv
NP_001949.1,ESM1V,NP_001949.1_ESM1V_571,115,8682,/n/groups/marks/projects/Poly/data/model_score_files/popEVE_training_files_20240420/NP_001949.1_ESM1V_571.csv,data/model_score_files/popEVE_training_files_20240420/NP_001949.1_ESM1V_571.csv
NP_000353.1,ESM1V,NP_000353.1_ESM1V_573,87,3922,/n/groups/marks/projects/Poly/data/model_score_files/popEVE_training_files_20240420/NP_000353.1_ESM1V_573.csv,data/model_score_files/popEVE_training_files_20240420/NP_000353.1_ESM1V_573.csv
NP_005076.3,ESM1V,NP_005076.3_ESM1V_575,1405,38305,/n/groups/marks/projects/Poly/data/model_score_files/popEVE_training_files_20240420/NP_005076.3_ESM1V_575.csv,data/model_score_files/popEVE_training_files_20240420/NP_005076.3_ESM1V_575.csv
NP_004243.1,ESM1V,NP_004243.1_ESM1V_577,270,6532,/n/groups/marks/projects/Poly/data/model_score_files/popEVE_training_files_20240420/NP_004243.1_ESM1V_577.csv,data/model_score_files/popEVE_training_files_20240420/NP_004243.1_ESM1V_577.csv
NP_076869.1,ESM1V,NP_076869.1_ESM1V_579,128,2969,/n/groups/marks/projects/Poly/data/model_score_files/popEVE_training_files_20240420/NP_076869.1_ESM1V_579.csv,data/model_score_files/popEVE_training_files_20240420/NP_076869.1_ESM1V_579.csv
NP_001123995.1,ESM1V,NP_001123995.1_ESM1V_582,387,15060,/n/groups/marks/projects/Poly/data/model_score_files/popEVE_training_files_20240420/NP_001123995.1_ESM1V_582.csv,data/model_score_files/popEVE_training_files_20240420/NP_001123995.1_ESM1V_582.csv
NP_060483.3,ESM1V,NP_060483.3_ESM1V_590,554,16033,/n/groups/marks/projects/Poly/data/model_score_files/popEVE_training_files_20240420/NP_060483.3_ESM1V_590.csv,data/model_score_files/popEVE_training_files_20240420/NP_060483.3_ESM1V_590.csv
NP_000343.2,ESM1V,NP_000343.2_ESM1V_594,968,29071,/n/groups/marks/projects/Poly/data/model_score_files/popEVE_training_files_20240420/NP_000343.2_ESM1V_594.csv,data/model_score_files/popEVE_training_files_20240420/NP_000343.2_ESM1V_594.csv
NP_001129965.1,ESM1V,NP_001129965.1_ESM1V_604,289,10028,/n/groups/marks/projects/Poly/data/model_score_files/popEVE_training_files_20240420/NP_001129965.1_ESM1V_604.csv,data/model_score_files/popEVE_training_files_20240420/NP_001129965.1_ESM1V_604.csv
NP_004887.2,ESM1V,NP_004887.2_ESM1V_608,147,6066,/n/groups/marks/projects/Poly/data/model_score_files/popEVE_training_files_20240420/NP_004887.2_ESM1V_608.csv,data/model_score_files/popEVE_training_files_20240420/NP_004887.2_ESM1V_608.csv
NP_056477.1,ESM1V,NP_056477.1_ESM1V_624,1064,32167,/n/groups/marks/projects/Poly/data/model_score_files/popEVE_training_files_20240420/NP_056477.1_ESM1V_624.csv,data/model_score_files/popEVE_training_files_20240420/NP_056477.1_ESM1V_624.csv
NP_071731.1,ESM1V,NP_071731.1_ESM1V_626,292,8220,/n/groups/marks/projects/Poly/data/model_score_files/popEVE_training_files_20240420/NP_071731.1_ESM1V_626.csv,data/model_score_files/popEVE_training_files_20240420/NP_071731.1_ESM1V_626.csv
NP_060795.1,ESM1V,NP_060795.1_ESM1V_634,342,8797,/n/groups/marks/projects/Poly/data/model_score_files/popEVE_training_files_20240420/NP_060795.1_ESM1V_634.csv,data/model_score_files/popEVE_training_files_20240420/NP_060795.1_ESM1V_634.csv
NP_002597.1,ESM1V,NP_002597.1_ESM1V_636,358,10909,/n/groups/marks/projects/Poly/data/model_score_files/popEVE_training_files_20240420/NP_002597.1_ESM1V_636.csv,data/model_score_files/popEVE_training_files_20240420/NP_002597.1_ESM1V_636.csv
NP_733749.1,ESM1V,NP_733749.1_ESM1V_640,424,12363,/n/groups/marks/projects/Poly/data/model_score_files/popEVE_training_files_20240420/NP_733749.1_ESM1V_640.csv,data/model_score_files/popEVE_training_files_20240420/NP_733749.1_ESM1V_640.csv
NP_004692.1,ESM1V,NP_004692.1_ESM1V_642,268,7294,/n/groups/marks/projects/Poly/data/model_score_files/popEVE_training_files_20240420/NP_004692.1_ESM1V_642.csv,data/model_score_files/popEVE_training_files_20240420/NP_004692.1_ESM1V_642.csv
NP_065073.3,ESM1V,NP_065073.3_ESM1V_654,1299,40064,/n/groups/marks/projects/Poly/data/model_score_files/popEVE_training_files_20240420/NP_065073.3_ESM1V_654.csv,data/model_score_files/popEVE_training_files_20240420/NP_065073.3_ESM1V_654.csv
NP_079104.3,ESM1V,NP_079104.3_ESM1V_658,273,6586,/n/groups/marks/projects/Poly/data/model_score_files/popEVE_training_files_20240420/NP_079104.3_ESM1V_658.csv,data/model_score_files/popEVE_training_files_20240420/NP_079104.3_ESM1V_658.csv
NP_001238968.1,ESM1V,NP_001238968.1_ESM1V_660,141,4590,/n/groups/marks/projects/Poly/data/model_score_files/popEVE_training_files_20240420/NP_001238968.1_ESM1V_660.csv,data/model_score_files/popEVE_training_files_20240420/NP_001238968.1_ESM1V_660.csv
