protein_id,model,unique_id,pre_gap_filter_count,post_gap_filter_count,seen_count,not_seen_count,file_path,S3
NP_066962.2,EVE,NP_066962.2_EVE_snv_gf_105,4143,3993,380,3613,/n/groups/marks/projects/Poly/data/model_score_files/popEVE_snv_gap_filter_training_files_20240427/NP_066962.2_EVE_snv_gf_105.csv,data/model_score_files/popEVE_snv_gap_filter_training_files_20240427/NP_066962.2_EVE_snv_gf_105.csv
NP_079439.2,EVE,NP_079439.2_EVE_snv_gf_107,4716,3772,346,3426,/n/groups/marks/projects/Poly/data/model_score_files/popEVE_snv_gap_filter_training_files_20240427/NP_079439.2_EVE_snv_gf_107.csv,data/model_score_files/popEVE_snv_gap_filter_training_files_20240427/NP_079439.2_EVE_snv_gf_107.csv
NP_003871.1,EVE,NP_003871.1_EVE_snv_gf_111,2755,2284,165,2119,/n/groups/marks/projects/Poly/data/model_score_files/popEVE_snv_gap_filter_training_files_20240427/NP_003871.1_EVE_snv_gf_111.csv,data/model_score_files/popEVE_snv_gap_filter_training_files_20240427/NP_003871.1_EVE_snv_gf_111.csv
NP_060055.2,EVE,NP_060055.2_EVE_snv_gf_117,4165,3572,327,3245,/n/groups/marks/projects/Poly/data/model_score_files/popEVE_snv_gap_filter_training_files_20240427/NP_060055.2_EVE_snv_gf_117.csv,data/model_score_files/popEVE_snv_gap_filter_training_files_20240427/NP_060055.2_EVE_snv_gf_117.csv
NP_898871.1,EVE,NP_898871.1_EVE_snv_gf_121,3066,2501,202,2299,/n/groups/marks/projects/Poly/data/model_score_files/popEVE_snv_gap_filter_training_files_20240427/NP_898871.1_EVE_snv_gf_121.csv,data/model_score_files/popEVE_snv_gap_filter_training_files_20240427/NP_898871.1_EVE_snv_gf_121.csv
NP_061738.1,EVE,NP_061738.1_EVE_snv_gf_127,7575,5906,534,5372,/n/groups/marks/projects/Poly/data/model_score_files/popEVE_snv_gap_filter_training_files_20240427/NP_061738.1_EVE_snv_gf_127.csv,data/model_score_files/popEVE_snv_gap_filter_training_files_20240427/NP_061738.1_EVE_snv_gf_127.csv
NP_060793.2,EVE,NP_060793.2_EVE_snv_gf_135,3794,2702,186,2516,/n/groups/marks/projects/Poly/data/model_score_files/popEVE_snv_gap_filter_training_files_20240427/NP_060793.2_EVE_snv_gf_135.csv,data/model_score_files/popEVE_snv_gap_filter_training_files_20240427/NP_060793.2_EVE_snv_gf_135.csv
NP_065766.1,EVE,NP_065766.1_EVE_snv_gf_140,11013,8206,599,7607,/n/groups/marks/projects/Poly/data/model_score_files/popEVE_snv_gap_filter_training_files_20240427/NP_065766.1_EVE_snv_gf_140.csv,data/model_score_files/popEVE_snv_gap_filter_training_files_20240427/NP_065766.1_EVE_snv_gf_140.csv
NP_001001916.2,EVE,NP_001001916.2_EVE_snv_gf_144,2492,2401,234,2167,/n/groups/marks/projects/Poly/data/model_score_files/popEVE_snv_gap_filter_training_files_20240427/NP_001001916.2_EVE_snv_gf_144.csv,data/model_score_files/popEVE_snv_gap_filter_training_files_20240427/NP_001001916.2_EVE_snv_gf_144.csv
NP_001661.1,EVE,NP_001661.1_EVE_snv_gf_172,7866,6395,699,5696,/n/groups/marks/projects/Poly/data/model_score_files/popEVE_snv_gap_filter_training_files_20240427/NP_001661.1_EVE_snv_gf_172.csv,data/model_score_files/popEVE_snv_gap_filter_training_files_20240427/NP_001661.1_EVE_snv_gf_172.csv
NP_037364.1,EVE,NP_037364.1_EVE_snv_gf_176,1517,1318,124,1194,/n/groups/marks/projects/Poly/data/model_score_files/popEVE_snv_gap_filter_training_files_20240427/NP_037364.1_EVE_snv_gf_176.csv,data/model_score_files/popEVE_snv_gap_filter_training_files_20240427/NP_037364.1_EVE_snv_gf_176.csv
NP_001129686.1,EVE,NP_001129686.1_EVE_snv_gf_182,3508,3034,88,2946,/n/groups/marks/projects/Poly/data/model_score_files/popEVE_snv_gap_filter_training_files_20240427/NP_001129686.1_EVE_snv_gf_182.csv,data/model_score_files/popEVE_snv_gap_filter_training_files_20240427/NP_001129686.1_EVE_snv_gf_182.csv
NP_001631.3,EVE,NP_001631.3_EVE_snv_gf_185,5847,5453,411,5042,/n/groups/marks/projects/Poly/data/model_score_files/popEVE_snv_gap_filter_training_files_20240427/NP_001631.3_EVE_snv_gf_185.csv,data/model_score_files/popEVE_snv_gap_filter_training_files_20240427/NP_001631.3_EVE_snv_gf_185.csv
NP_006512.2,EVE,NP_006512.2_EVE_snv_gf_192,4799,3042,121,2921,/n/groups/marks/projects/Poly/data/model_score_files/popEVE_snv_gap_filter_training_files_20240427/NP_006512.2_EVE_snv_gf_192.csv,data/model_score_files/popEVE_snv_gap_filter_training_files_20240427/NP_006512.2_EVE_snv_gf_192.csv
NP_001139136.2,EVE,NP_001139136.2_EVE_snv_gf_194,3793,3176,267,2909,/n/groups/marks/projects/Poly/data/model_score_files/popEVE_snv_gap_filter_training_files_20240427/NP_001139136.2_EVE_snv_gf_194.csv,data/model_score_files/popEVE_snv_gap_filter_training_files_20240427/NP_001139136.2_EVE_snv_gf_194.csv
NP_001167621.1,EVE,NP_001167621.1_EVE_snv_gf_203,3327,2145,165,1980,/n/groups/marks/projects/Poly/data/model_score_files/popEVE_snv_gap_filter_training_files_20240427/NP_001167621.1_EVE_snv_gf_203.csv,data/model_score_files/popEVE_snv_gap_filter_training_files_20240427/NP_001167621.1_EVE_snv_gf_203.csv
NP_001269724.1,EVE,NP_001269724.1_EVE_snv_gf_220,5465,4321,371,3950,/n/groups/marks/projects/Poly/data/model_score_files/popEVE_snv_gap_filter_training_files_20240427/NP_001269724.1_EVE_snv_gf_220.csv,data/model_score_files/popEVE_snv_gap_filter_training_files_20240427/NP_001269724.1_EVE_snv_gf_220.csv
NP_612457.1,EVE,NP_612457.1_EVE_snv_gf_224,810,696,65,631,/n/groups/marks/projects/Poly/data/model_score_files/popEVE_snv_gap_filter_training_files_20240427/NP_612457.1_EVE_snv_gf_224.csv,data/model_score_files/popEVE_snv_gap_filter_training_files_20240427/NP_612457.1_EVE_snv_gf_224.csv
NP_003932.3,EVE,NP_003932.3_EVE_snv_gf_226,3960,2876,196,2680,/n/groups/marks/projects/Poly/data/model_score_files/popEVE_snv_gap_filter_training_files_20240427/NP_003932.3_EVE_snv_gf_226.csv,data/model_score_files/popEVE_snv_gap_filter_training_files_20240427/NP_003932.3_EVE_snv_gf_226.csv
NP_056538.1,EVE,NP_056538.1_EVE_snv_gf_238,6322,4035,296,3739,/n/groups/marks/projects/Poly/data/model_score_files/popEVE_snv_gap_filter_training_files_20240427/NP_056538.1_EVE_snv_gf_238.csv,data/model_score_files/popEVE_snv_gap_filter_training_files_20240427/NP_056538.1_EVE_snv_gf_238.csv
NP_002477.1,EVE,NP_002477.1_EVE_snv_gf_242,6224,5032,271,4761,/n/groups/marks/projects/Poly/data/model_score_files/popEVE_snv_gap_filter_training_files_20240427/NP_002477.1_EVE_snv_gf_242.csv,data/model_score_files/popEVE_snv_gap_filter_training_files_20240427/NP_002477.1_EVE_snv_gf_242.csv
NP_665898.1,EVE,NP_665898.1_EVE_snv_gf_248,3229,2094,223,1871,/n/groups/marks/projects/Poly/data/model_score_files/popEVE_snv_gap_filter_training_files_20240427/NP_665898.1_EVE_snv_gf_248.csv,data/model_score_files/popEVE_snv_gap_filter_training_files_20240427/NP_665898.1_EVE_snv_gf_248.csv
NP_703191.2,EVE,NP_703191.2_EVE_snv_gf_250,6388,5233,476,4757,/n/groups/marks/projects/Poly/data/model_score_files/popEVE_snv_gap_filter_training_files_20240427/NP_703191.2_EVE_snv_gf_250.csv,data/model_score_files/popEVE_snv_gap_filter_training_files_20240427/NP_703191.2_EVE_snv_gf_250.csv
NP_775901.3,EVE,NP_775901.3_EVE_snv_gf_252,18208,17669,1367,16302,/n/groups/marks/projects/Poly/data/model_score_files/popEVE_snv_gap_filter_training_files_20240427/NP_775901.3_EVE_snv_gf_252.csv,data/model_score_files/popEVE_snv_gap_filter_training_files_20240427/NP_775901.3_EVE_snv_gf_252.csv
NP_001161686.1,EVE,NP_001161686.1_EVE_snv_gf_256,2031,1103,101,1002,/n/groups/marks/projects/Poly/data/model_score_files/popEVE_snv_gap_filter_training_files_20240427/NP_001161686.1_EVE_snv_gf_256.csv,data/model_score_files/popEVE_snv_gap_filter_training_files_20240427/NP_001161686.1_EVE_snv_gf_256.csv
NP_006205.1,EVE,NP_006205.1_EVE_snv_gf_260,2634,2098,192,1906,/n/groups/marks/projects/Poly/data/model_score_files/popEVE_snv_gap_filter_training_files_20240427/NP_006205.1_EVE_snv_gf_260.csv,data/model_score_files/popEVE_snv_gap_filter_training_files_20240427/NP_006205.1_EVE_snv_gf_260.csv
NP_001243328.1,EVE,NP_001243328.1_EVE_snv_gf_279,2197,1876,111,1765,/n/groups/marks/projects/Poly/data/model_score_files/popEVE_snv_gap_filter_training_files_20240427/NP_001243328.1_EVE_snv_gf_279.csv,data/model_score_files/popEVE_snv_gap_filter_training_files_20240427/NP_001243328.1_EVE_snv_gf_279.csv
NP_071338.1,EVE,NP_071338.1_EVE_snv_gf_281,3611,2769,161,2608,/n/groups/marks/projects/Poly/data/model_score_files/popEVE_snv_gap_filter_training_files_20240427/NP_071338.1_EVE_snv_gf_281.csv,data/model_score_files/popEVE_snv_gap_filter_training_files_20240427/NP_071338.1_EVE_snv_gf_281.csv
NP_006787.2,EVE,NP_006787.2_EVE_snv_gf_283,6306,4591,251,4340,/n/groups/marks/projects/Poly/data/model_score_files/popEVE_snv_gap_filter_training_files_20240427/NP_006787.2_EVE_snv_gf_283.csv,data/model_score_files/popEVE_snv_gap_filter_training_files_20240427/NP_006787.2_EVE_snv_gf_283.csv
NP_065114.3,EVE,NP_065114.3_EVE_snv_gf_287,3276,2452,172,2280,/n/groups/marks/projects/Poly/data/model_score_files/popEVE_snv_gap_filter_training_files_20240427/NP_065114.3_EVE_snv_gf_287.csv,data/model_score_files/popEVE_snv_gap_filter_training_files_20240427/NP_065114.3_EVE_snv_gf_287.csv
NP_085128.2,EVE,NP_085128.2_EVE_snv_gf_289,17082,11562,787,10775,/n/groups/marks/projects/Poly/data/model_score_files/popEVE_snv_gap_filter_training_files_20240427/NP_085128.2_EVE_snv_gf_289.csv,data/model_score_files/popEVE_snv_gap_filter_training_files_20240427/NP_085128.2_EVE_snv_gf_289.csv
NP_001001852.2,EVE,NP_001001852.2_EVE_snv_gf_295,2674,2038,181,1857,/n/groups/marks/projects/Poly/data/model_score_files/popEVE_snv_gap_filter_training_files_20240427/NP_001001852.2_EVE_snv_gf_295.csv,data/model_score_files/popEVE_snv_gap_filter_training_files_20240427/NP_001001852.2_EVE_snv_gf_295.csv
NP_001613.2,EVE,NP_001613.2_EVE_snv_gf_300,2860,2125,183,1942,/n/groups/marks/projects/Poly/data/model_score_files/popEVE_snv_gap_filter_training_files_20240427/NP_001613.2_EVE_snv_gf_300.csv,data/model_score_files/popEVE_snv_gap_filter_training_files_20240427/NP_001613.2_EVE_snv_gf_300.csv
NP_055616.3,EVE,NP_055616.3_EVE_snv_gf_315,17467,10226,794,9432,/n/groups/marks/projects/Poly/data/model_score_files/popEVE_snv_gap_filter_training_files_20240427/NP_055616.3_EVE_snv_gf_315.csv,data/model_score_files/popEVE_snv_gap_filter_training_files_20240427/NP_055616.3_EVE_snv_gf_315.csv
NP_055671.2,EVE,NP_055671.2_EVE_snv_gf_317,12219,8557,565,7992,/n/groups/marks/projects/Poly/data/model_score_files/popEVE_snv_gap_filter_training_files_20240427/NP_055671.2_EVE_snv_gf_317.csv,data/model_score_files/popEVE_snv_gap_filter_training_files_20240427/NP_055671.2_EVE_snv_gf_317.csv
NP_001157814.1,EVE,NP_001157814.1_EVE_snv_gf_328,5954,4702,215,4487,/n/groups/marks/projects/Poly/data/model_score_files/popEVE_snv_gap_filter_training_files_20240427/NP_001157814.1_EVE_snv_gf_328.csv,data/model_score_files/popEVE_snv_gap_filter_training_files_20240427/NP_001157814.1_EVE_snv_gf_328.csv
NP_733843.1,EVE,NP_733843.1_EVE_snv_gf_330,4758,3265,302,2963,/n/groups/marks/projects/Poly/data/model_score_files/popEVE_snv_gap_filter_training_files_20240427/NP_733843.1_EVE_snv_gf_330.csv,data/model_score_files/popEVE_snv_gap_filter_training_files_20240427/NP_733843.1_EVE_snv_gf_330.csv
NP_001091672.1,EVE,NP_001091672.1_EVE_snv_gf_342,5817,4336,352,3984,/n/groups/marks/projects/Poly/data/model_score_files/popEVE_snv_gap_filter_training_files_20240427/NP_001091672.1_EVE_snv_gf_342.csv,data/model_score_files/popEVE_snv_gap_filter_training_files_20240427/NP_001091672.1_EVE_snv_gf_342.csv
NP_001976.1,EVE,NP_001976.1_EVE_snv_gf_358,2015,1916,146,1770,/n/groups/marks/projects/Poly/data/model_score_files/popEVE_snv_gap_filter_training_files_20240427/NP_001976.1_EVE_snv_gf_358.csv,data/model_score_files/popEVE_snv_gap_filter_training_files_20240427/NP_001976.1_EVE_snv_gf_358.csv
NP_068657.1,EVE,NP_068657.1_EVE_snv_gf_362,5331,2827,201,2626,/n/groups/marks/projects/Poly/data/model_score_files/popEVE_snv_gap_filter_training_files_20240427/NP_068657.1_EVE_snv_gf_362.csv,data/model_score_files/popEVE_snv_gap_filter_training_files_20240427/NP_068657.1_EVE_snv_gf_362.csv
NP_065857.1,EVE,NP_065857.1_EVE_snv_gf_364,6201,3113,147,2966,/n/groups/marks/projects/Poly/data/model_score_files/popEVE_snv_gap_filter_training_files_20240427/NP_065857.1_EVE_snv_gf_364.csv,data/model_score_files/popEVE_snv_gap_filter_training_files_20240427/NP_065857.1_EVE_snv_gf_364.csv
NP_071341.2,EVE,NP_071341.2_EVE_snv_gf_372,8739,7121,365,6756,/n/groups/marks/projects/Poly/data/model_score_files/popEVE_snv_gap_filter_training_files_20240427/NP_071341.2_EVE_snv_gf_372.csv,data/model_score_files/popEVE_snv_gap_filter_training_files_20240427/NP_071341.2_EVE_snv_gf_372.csv
NP_115627.6,EVE,NP_115627.6_EVE_snv_gf_374,12026,11714,1039,10675,/n/groups/marks/projects/Poly/data/model_score_files/popEVE_snv_gap_filter_training_files_20240427/NP_115627.6_EVE_snv_gf_374.csv,data/model_score_files/popEVE_snv_gap_filter_training_files_20240427/NP_115627.6_EVE_snv_gf_374.csv
NP_056345.3,EVE,NP_056345.3_EVE_snv_gf_378,3705,2660,177,2483,/n/groups/marks/projects/Poly/data/model_score_files/popEVE_snv_gap_filter_training_files_20240427/NP_056345.3_EVE_snv_gf_378.csv,data/model_score_files/popEVE_snv_gap_filter_training_files_20240427/NP_056345.3_EVE_snv_gf_378.csv
NP_037423.2,EVE,NP_037423.2_EVE_snv_gf_404,11571,11126,923,10203,/n/groups/marks/projects/Poly/data/model_score_files/popEVE_snv_gap_filter_training_files_20240427/NP_037423.2_EVE_snv_gf_404.csv,data/model_score_files/popEVE_snv_gap_filter_training_files_20240427/NP_037423.2_EVE_snv_gf_404.csv
NP_066919.2,EVE,NP_066919.2_EVE_snv_gf_427,18010,13088,926,12162,/n/groups/marks/projects/Poly/data/model_score_files/popEVE_snv_gap_filter_training_files_20240427/NP_066919.2_EVE_snv_gf_427.csv,data/model_score_files/popEVE_snv_gap_filter_training_files_20240427/NP_066919.2_EVE_snv_gf_427.csv
NP_060111.2,EVE,NP_060111.2_EVE_snv_gf_431,13342,9762,642,9120,/n/groups/marks/projects/Poly/data/model_score_files/popEVE_snv_gap_filter_training_files_20240427/NP_060111.2_EVE_snv_gf_431.csv,data/model_score_files/popEVE_snv_gap_filter_training_files_20240427/NP_060111.2_EVE_snv_gf_431.csv
NP_005656.4,EVE,NP_005656.4_EVE_snv_gf_440,6483,3666,255,3411,/n/groups/marks/projects/Poly/data/model_score_files/popEVE_snv_gap_filter_training_files_20240427/NP_005656.4_EVE_snv_gf_440.csv,data/model_score_files/popEVE_snv_gap_filter_training_files_20240427/NP_005656.4_EVE_snv_gf_440.csv
NP_009198.4,EVE,NP_009198.4_EVE_snv_gf_442,6578,4717,439,4278,/n/groups/marks/projects/Poly/data/model_score_files/popEVE_snv_gap_filter_training_files_20240427/NP_009198.4_EVE_snv_gf_442.csv,data/model_score_files/popEVE_snv_gap_filter_training_files_20240427/NP_009198.4_EVE_snv_gf_442.csv
NP_000385.1,EVE,NP_000385.1_EVE_snv_gf_450,1417,1038,14,1024,/n/groups/marks/projects/Poly/data/model_score_files/popEVE_snv_gap_filter_training_files_20240427/NP_000385.1_EVE_snv_gf_450.csv,data/model_score_files/popEVE_snv_gap_filter_training_files_20240427/NP_000385.1_EVE_snv_gf_450.csv
NP_758872.1,EVE,NP_758872.1_EVE_snv_gf_452,7932,5221,237,4984,/n/groups/marks/projects/Poly/data/model_score_files/popEVE_snv_gap_filter_training_files_20240427/NP_758872.1_EVE_snv_gf_452.csv,data/model_score_files/popEVE_snv_gap_filter_training_files_20240427/NP_758872.1_EVE_snv_gf_452.csv
NP_002171.2,EVE,NP_002171.2_EVE_snv_gf_464,8120,5058,441,4617,/n/groups/marks/projects/Poly/data/model_score_files/popEVE_snv_gap_filter_training_files_20240427/NP_002171.2_EVE_snv_gf_464.csv,data/model_score_files/popEVE_snv_gap_filter_training_files_20240427/NP_002171.2_EVE_snv_gf_464.csv
NP_064632.2,EVE,NP_064632.2_EVE_snv_gf_485,5109,3385,383,3002,/n/groups/marks/projects/Poly/data/model_score_files/popEVE_snv_gap_filter_training_files_20240427/NP_064632.2_EVE_snv_gf_485.csv,data/model_score_files/popEVE_snv_gap_filter_training_files_20240427/NP_064632.2_EVE_snv_gf_485.csv
NP_085135.1,EVE,NP_085135.1_EVE_snv_gf_503,18283,17727,1312,16415,/n/groups/marks/projects/Poly/data/model_score_files/popEVE_snv_gap_filter_training_files_20240427/NP_085135.1_EVE_snv_gf_503.csv,data/model_score_files/popEVE_snv_gap_filter_training_files_20240427/NP_085135.1_EVE_snv_gf_503.csv
NP_068380.3,EVE,NP_068380.3_EVE_snv_gf_510,2543,2154,166,1988,/n/groups/marks/projects/Poly/data/model_score_files/popEVE_snv_gap_filter_training_files_20240427/NP_068380.3_EVE_snv_gf_510.csv,data/model_score_files/popEVE_snv_gap_filter_training_files_20240427/NP_068380.3_EVE_snv_gf_510.csv
NP_963925.2,EVE,NP_963925.2_EVE_snv_gf_512,5729,5269,409,4860,/n/groups/marks/projects/Poly/data/model_score_files/popEVE_snv_gap_filter_training_files_20240427/NP_963925.2_EVE_snv_gf_512.csv,data/model_score_files/popEVE_snv_gap_filter_training_files_20240427/NP_963925.2_EVE_snv_gf_512.csv
NP_852122.1,EVE,NP_852122.1_EVE_snv_gf_514,3907,2465,187,2278,/n/groups/marks/projects/Poly/data/model_score_files/popEVE_snv_gap_filter_training_files_20240427/NP_852122.1_EVE_snv_gf_514.csv,data/model_score_files/popEVE_snv_gap_filter_training_files_20240427/NP_852122.1_EVE_snv_gf_514.csv
NP_000156.1,EVE,NP_000156.1_EVE_snv_gf_526,3051,1864,88,1776,/n/groups/marks/projects/Poly/data/model_score_files/popEVE_snv_gap_filter_training_files_20240427/NP_000156.1_EVE_snv_gf_526.csv,data/model_score_files/popEVE_snv_gap_filter_training_files_20240427/NP_000156.1_EVE_snv_gf_526.csv
NP_001369297.1,EVE,NP_001369297.1_EVE_snv_gf_532,760,449,59,390,/n/groups/marks/projects/Poly/data/model_score_files/popEVE_snv_gap_filter_training_files_20240427/NP_001369297.1_EVE_snv_gf_532.csv,data/model_score_files/popEVE_snv_gap_filter_training_files_20240427/NP_001369297.1_EVE_snv_gf_532.csv
NP_055445.2,EVE,NP_055445.2_EVE_snv_gf_536,10240,9035,696,8339,/n/groups/marks/projects/Poly/data/model_score_files/popEVE_snv_gap_filter_training_files_20240427/NP_055445.2_EVE_snv_gf_536.csv,data/model_score_files/popEVE_snv_gap_filter_training_files_20240427/NP_055445.2_EVE_snv_gf_536.csv
NP_002584.2,EVE,NP_002584.2_EVE_snv_gf_542,3592,1815,167,1648,/n/groups/marks/projects/Poly/data/model_score_files/popEVE_snv_gap_filter_training_files_20240427/NP_002584.2_EVE_snv_gf_542.csv,data/model_score_files/popEVE_snv_gap_filter_training_files_20240427/NP_002584.2_EVE_snv_gf_542.csv
NP_951009.1,EVE,NP_951009.1_EVE_snv_gf_548,3688,2054,204,1850,/n/groups/marks/projects/Poly/data/model_score_files/popEVE_snv_gap_filter_training_files_20240427/NP_951009.1_EVE_snv_gf_548.csv,data/model_score_files/popEVE_snv_gap_filter_training_files_20240427/NP_951009.1_EVE_snv_gf_548.csv
NP_003163.1,EVE,NP_003163.1_EVE_snv_gf_550,2419,1755,171,1584,/n/groups/marks/projects/Poly/data/model_score_files/popEVE_snv_gap_filter_training_files_20240427/NP_003163.1_EVE_snv_gf_550.csv,data/model_score_files/popEVE_snv_gap_filter_training_files_20240427/NP_003163.1_EVE_snv_gf_550.csv
NP_065825.1,EVE,NP_065825.1_EVE_snv_gf_556,7962,6319,428,5891,/n/groups/marks/projects/Poly/data/model_score_files/popEVE_snv_gap_filter_training_files_20240427/NP_065825.1_EVE_snv_gf_556.csv,data/model_score_files/popEVE_snv_gap_filter_training_files_20240427/NP_065825.1_EVE_snv_gf_556.csv
NP_061848.2,EVE,NP_061848.2_EVE_snv_gf_564,3141,2181,210,1971,/n/groups/marks/projects/Poly/data/model_score_files/popEVE_snv_gap_filter_training_files_20240427/NP_061848.2_EVE_snv_gf_564.csv,data/model_score_files/popEVE_snv_gap_filter_training_files_20240427/NP_061848.2_EVE_snv_gf_564.csv
NP_000353.1,EVE,NP_000353.1_EVE_snv_gf_573,1638,1426,72,1354,/n/groups/marks/projects/Poly/data/model_score_files/popEVE_snv_gap_filter_training_files_20240427/NP_000353.1_EVE_snv_gf_573.csv,data/model_score_files/popEVE_snv_gap_filter_training_files_20240427/NP_000353.1_EVE_snv_gf_573.csv
